timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
52285.7148,93.7678223,0.504226685,27.8502045,0.00081972,0.001543626,1.82E-05,0.012476444,0.706481934,0.398986816,0.000253495,1.5581665,6.77E-05,0.000207148,0.010830104,0.18598175,0.000757637,0.442480564,0.011370301,0.00106422,0.827217102,0.196355164,0.011202008,0,0.642028809,2.1969614,8.4385376,-15.4334717,10.6818848,244.539062,223.243042,143.088379,38.7006836,3367.93994
52357.1445,95.7897949,0.485214233,26.8613281,0.000766471,0.00239189,5.71E-05,0.007647038,0.690002441,0.965698242,0.000344027,3.23132324,0.00010366,0.000229672,0.012503684,0.191744804,0.000807229,0.455280304,0.0110102,0.001188204,0.848478794,0.196450099,0.01177448,0,0.673719406,2.19659472,6.34008789,-14.6322021,10.8170166,243.222656,224.247131,144.122009,38.1237488,3253.5
52428.5703,96.4890137,0.755279541,25.0927124,0.000748135,0.002269626,0.000194699,0.00540626,0.852073669,1.68182373,0.000350341,6.67724609,0.000282869,0.000439547,0.01371336,0.147022247,0.000910617,0.48519516,0.010268092,0.001474619,0.906997681,0.195502937,0.013135195,0,0.759735107,2.19529033,5.42919922,-12.9145508,11.6964111,220.6875,224.085205,144.714355,37.1463013,3184.6123
52500,97.2714539,1.1566658,24.7669754,0.000676233,0.001368575,0.000729442,0.003953099,0.90171814,2.87329102,0.000147916,15.4326172,0.000426248,0.000416115,0.01570344,0.12025547,0.001080692,0.570327759,0.007779121,0.002015948,1.32717896,0.194919497,0.019727707,0,1.40148926,2.19572353,4.12786865,-9.87573242,12.0606689,248.003906,225.553223,145.270874,35.9870605,3138.58594
52571.4297,97.0977783,1.78601074,25.3964233,0.000595458,0.001001716,0.002927065,0.003010988,0.906204224,5.51489258,9.75E-05,32.8125,0.001246572,0.000881195,0.017501712,0.097006798,0.00146243,0.788284302,0.004366159,0.003554344,3.02893066,0.194413096,0.046859741,0,5.22314453,2.19366407,4.42614746,-7.03564453,11.4012604,254.021484,226.361694,145.833557,35.1750183,3083.82617
52642.8555,97.7932205,1.7562561,24.8470764,0.00053101,0.004007816,0.011069298,0.002343088,0.896759033,8.36535645,0.000142809,56.4560547,0.002637506,0.004886627,0.019996762,0.085900068,0.002282321,1.2244873,0.001993239,0.007972717,7.98876953,0.194147766,0.137031555,0,21.3984375,2.19137764,3.04301453,-4.75317383,11.6928711,247.355469,227.561768,146.15332,35.140625,3048.76562
52714.2852,97.3208618,1.19714355,25.1206665,0.000487594,0.010013819,0.036466599,0.002065152,0.886014938,10.7426758,0.000175394,76.8857422,0.002548933,5.1015625,0.020605207,0.069934845,0.003269136,1.83526611,0.000995755,0.015344143,17.875,0.193810344,0.351333618,0,53.6074219,2.19299078,4.0234375,-4.98925781,10.730896,225.167969,233.231445,145.630127,35.4925537,3110.3125
52785.7148,97.0054932,0.65133667,25.456543,0.000441205,0.008729503,0.058650017,0.002177745,0.636108398,9.95214844,0.000902414,89.1098633,0.001827031,87.0517578,0.021271229,0.061463118,0.004034489,2.43334961,0.000653282,0.02238059,27.6323242,0.193626463,0.623382568,-0.452087402,73.6865234,2.19906378,4.60400391,-2.10961914,9.10577393,223.726562,237.38855,144.055481,36.2441101,3253.59766
52857.1445,95.9379883,0.342243195,26.0047302,0.000399992,0.004174292,0.07063134,0.002151534,0.314376831,9.22186279,0.001228154,95.6696777,0.001375496,43.7578125,0.021785274,0.04847908,0.004462972,2.91317749,0.000515264,0.026657343,34.4301758,0.193352401,0.852081299,-2.3336792,82.4382324,2.18748736,6.12353516,-3.93408203,8.22290039,232.391602,230.613281,146.010162,34.4904785,3135.42578
52928.5703,95.717041,0.309410095,27.0396729,0.000348885,0.002446175,0.075265884,0.001992203,0.229705811,8.97015381,0.001240313,98.3412476,0.001072858,0.075119019,0.020504117,0.042026281,0.00452777,3.10661888,0.000459269,0.027437091,38.401123,0.193238527,0.993186951,-3.08586884,85.9693604,2.18441629,6.46405029,0.656738281,7.89013672,226.191406,227.780029,146.249268,33.5056458,3087.58984
